Read 40 queries.
Using Bao: True
Executing queries using PG optimizer for initial training
x x 1640053023.1387165 sample_queries/q33_2a156.sql 11.160907506942749 PG
x x 1640053029.7849653 sample_queries/q11_17e.sql 6.64605188369751 PG
x x 1640053035.610748 sample_queries/q20_24b.sql 5.825656890869141 PG
x x 1640053072.27735 sample_queries/q18_7a103.sql 36.666486740112305 PG
x x 1640053079.635607 sample_queries/q37_2a1291.sql 7.358106851577759 PG
x x 1640053090.5179632 sample_queries/q35_1a1508.sql 10.882169723510742 PG
x x 1640053128.1037796 sample_queries/q5_8a423.sql 37.58568239212036 PG
x x 1640053245.327251 sample_queries/q13_7a121.sql 117.22336292266846 PG
x x 1640053255.935315 sample_queries/q25_13d.sql 10.607893228530884 PG
x x 1640053262.4864671 sample_queries/q11_17e.sql 6.551048755645752 PG
x x 1640053298.8482015 sample_queries/q18_7a103.sql 36.36155414581299 PG
x x 1640053480.428146 sample_queries/q2_8a82.sql 181.57980608940125 PG
x x 1640053486.9985213 sample_queries/q11_17e.sql 6.570253372192383 PG
x x 1640053494.874424 sample_queries/q17_7a164.sql 7.875755310058594 PG
x x 1640053507.0967422 sample_queries/q33_2a156.sql 12.222126960754395 PG
x x 1640053509.7192388 sample_queries/q29_6e.sql 2.6223623752593994 PG
x x 1640053546.0920546 sample_queries/q18_7a103.sql 36.3726589679718 PG
x x 1640053553.0997863 sample_queries/q31_2a39.sql 7.0076000690460205 PG
x x 1640053560.4361382 sample_queries/q39_2a2781.sql 7.336202383041382 PG
x x 1640053565.8330944 sample_queries/q10_2a265.sql 5.396807909011841 PG
x x 1640053573.6311903 sample_queries/q39_2a2781.sql 7.797948598861694 PG
x x 1640053584.720572 sample_queries/q35_1a1508.sql 11.08924126625061 PG
x x 1640053682.12037 sample_queries/q22_8a27.sql 97.39968705177307 PG
x x 1640053685.9506333 sample_queries/q16_26c.sql 3.8301126956939697 PG
x x 1640053694.2438362 sample_queries/q8_6a505.sql 8.29305624961853 PG
Initial input channels: 10
0 22 1640054138.0103788 sample_queries/q20_24b.sql 6.027558326721191
0 23 1640054151.2840872 sample_queries/q33_2a156.sql 13.273561954498291
0 24 1640054165.1843321 sample_queries/q23_19d.sql 13.9000883102417
Initial input channels: 10
Epoch 0 training loss: 150.20191301618303
Epoch 15 training loss: 132.17103881835936
Epoch 30 training loss: 125.91632385253907
Epoch 45 training loss: 119.36862618582589
Epoch 60 training loss: 113.43560267857143
Epoch 75 training loss: 107.08713727678571
Epoch 90 training loss: 100.09522726876395
Stopped training after max epochs
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
1 0 1640054462.2705197 sample_queries/q23_19d.sql 7.6860082149505615
1 1 1640054469.6259375 sample_queries/q18_7a103.sql 7.355214834213257
1 2 1640054477.600752 sample_queries/q19_2a471.sql 7.974657297134399
1 3 1640054486.5209446 sample_queries/q7_7a48.sql 8.92005705833435
1 4 1640054498.7437599 sample_queries/q33_2a156.sql 12.222697973251343
1 5 1640054505.1269395 sample_queries/q32_2a493.sql 6.383018970489502
1 6 1640054510.215733 sample_queries/q16_26c.sql 5.088610649108887
1 7 1640054518.106407 sample_queries/q37_2a1291.sql 7.890500783920288
1 8 1640054523.0576625 sample_queries/q16_26c.sql 4.951132297515869
1 9 1640054524.6244712 sample_queries/q24_32a.sql 1.5666618347167969
1 10 1640054531.9457436 sample_queries/q9_5a48.sql 7.321109771728516
1 11 1640054544.3174481 sample_queries/q33_2a156.sql 12.371493339538574
1 12 1640054549.286548 sample_queries/q30_18c.sql 4.968944072723389
1 13 1640054561.2234547 sample_queries/q35_1a1508.sql 11.936750888824463
1 14 1640054570.4172401 sample_queries/q40_2a8120.sql 9.193574905395508
1 15 1640054578.5667598 sample_queries/q38_2a1870.sql 8.149379253387451
1 16 1640054587.298126 sample_queries/q1_8a463.sql 8.731165885925293
1 17 1640054592.4076288 sample_queries/q11_17e.sql 5.10934853553772
1 18 1640054598.7344298 sample_queries/q21_2a396.sql 6.326653242111206
1 19 1640054606.9439397 sample_queries/q19_2a471.sql 8.209357023239136
1 20 1640054614.3904185 sample_queries/q18_7a103.sql 7.446341514587402
1 21 1640054623.1886802 sample_queries/q7_7a48.sql 8.798100471496582
1 22 1640054629.1055474 sample_queries/q5_8a423.sql 5.916699409484863
1 23 1640054635.259136 sample_queries/q21_2a396.sql 6.153451204299927
1 24 1640054641.4860396 sample_queries/q34_1a275.sql 6.226610422134399
Initial input channels: 10
Epoch 0 training loss: 147.25962660047742
Epoch 15 training loss: 131.68173874749078
Epoch 30 training loss: 125.22141393025716
Epoch 45 training loss: 118.01631927490234
Epoch 60 training loss: 111.14712397257487
Epoch 75 training loss: 104.18131807115343
Epoch 90 training loss: 97.59138997395833
Stopped training after max epochs
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
2 0 1640054927.654677 sample_queries/q24_32a.sql 1.3599884510040283
2 1 1640054933.9865386 sample_queries/q6_16b.sql 6.331695079803467
2 2 1640054937.0467165 sample_queries/q27_3c.sql 3.0600390434265137
2 3 1640054945.4642162 sample_queries/q19_2a471.sql 8.417335748672485
2 4 1640054954.259046 sample_queries/q1_8a463.sql 8.794665813446045
2 5 1640054959.6557324 sample_queries/q30_18c.sql 5.396546840667725
2 6 1640054967.965104 sample_queries/q19_2a471.sql 8.30922794342041
2 7 1640054975.939598 sample_queries/q31_2a39.sql 7.974381923675537
2 8 1640054981.8232088 sample_queries/q5_8a423.sql 5.8834474086761475
2 9 1640054983.4271138 sample_queries/q24_32a.sql 1.6037836074829102
2 10 1640054990.6040494 sample_queries/q18_7a103.sql 7.176804542541504
2 11 1640054997.7034378 sample_queries/q9_5a48.sql 7.099227428436279
2 12 1640055011.1591835 sample_queries/q2_8a82.sql 13.455609560012817
2 13 1640055019.362412 sample_queries/q13_7a121.sql 8.203049182891846
2 14 1640055024.5977533 sample_queries/q11_17e.sql 5.235167026519775
2 15 1640055032.0687172 sample_queries/q14_6a349.sql 7.47045111656189
2 16 1640055046.7821314 sample_queries/q33_2a156.sql 14.71329140663147
2 17 1640055055.4626474 sample_queries/q38_2a1870.sql 8.680330038070679
2 18 1640055061.9593282 sample_queries/q25_13d.sql 6.496549606323242
2 19 1640055066.4384034 sample_queries/q12_17a.sql 4.47891640663147
2 20 1640055067.9555256 sample_queries/q24_32a.sql 1.5170021057128906
2 21 1640055075.498839 sample_queries/q9_5a48.sql 7.54317831993103
2 22 1640055078.9076297 sample_queries/q29_6e.sql 3.4086203575134277
2 23 1640055087.8724751 sample_queries/q8_6a505.sql 8.964704513549805
2 24 1640055094.450464 sample_queries/q4_8a122.sql 6.577829360961914
Initial input channels: 10
Epoch 0 training loss: 147.48212673789575
Epoch 15 training loss: 130.40218815050628
Epoch 30 training loss: 123.00901754278885
Epoch 45 training loss: 115.69104284989207
Epoch 60 training loss: 108.82065040186832
Epoch 75 training loss: 101.23917870772512
Epoch 90 training loss: 93.74776217811986
Stopped training after max epochs
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
3 0 1640055406.3163621 sample_queries/q10_2a265.sql 6.286190032958984
3 1 1640055414.87783 sample_queries/q36_7a136.sql 8.561172246932983
3 2 1640055426.9601083 sample_queries/q35_1a1508.sql 12.082034826278687
3 3 1640055430.244445 sample_queries/q29_6e.sql 3.284162759780884
3 4 1640055438.689091 sample_queries/q19_2a471.sql 8.44449782371521
3 5 1640055450.9789927 sample_queries/q33_2a156.sql 12.289758920669556
3 6 1640055458.4991584 sample_queries/q14_6a349.sql 7.519965648651123
3 7 1640055472.9699495 sample_queries/q26_2a274.sql 14.47059941291809
3 8 1640055475.927158 sample_queries/q27_3c.sql 2.957087278366089
3 9 1640055485.031192 sample_queries/q8_6a505.sql 9.103874683380127
3 10 1640055491.037364 sample_queries/q5_8a423.sql 6.0060365200042725
3 11 1640055499.3453574 sample_queries/q19_2a471.sql 8.307843208312988
3 12 1640055513.3128884 sample_queries/q2_8a82.sql 13.96738886833191
3 13 1640055522.1341338 sample_queries/q17_7a164.sql 8.821107149124146
3 14 1640055528.338154 sample_queries/q6_16b.sql 6.20381236076355
3 15 1640055535.8320475 sample_queries/q4_8a122.sql 7.493692398071289
3 16 1640055541.6867044 sample_queries/q20_24b.sql 5.854510068893433
3 17 1640055554.8709195 sample_queries/q33_2a156.sql 13.184062719345093
3 18 1640055561.680996 sample_queries/q32_2a493.sql 6.809945821762085
3 19 1640055566.6405542 sample_queries/q16_26c.sql 4.959410905838013
3 20 1640055589.9799714 sample_queries/q3_7a99.sql 23.3392550945282
3 21 1640055593.279367 sample_queries/q29_6e.sql 3.2992606163024902
3 22 1640055601.4897442 sample_queries/q38_2a1870.sql 8.210235834121704
3 23 1640055604.843784 sample_queries/q29_6e.sql 3.353898048400879
3 24 1640055611.309372 sample_queries/q10_2a265.sql 6.4654459953308105
Initial input channels: 10
Epoch 0 training loss: 153.7129928588867
Epoch 15 training loss: 129.95223999023438
Epoch 30 training loss: 123.20396709442139
Epoch 45 training loss: 115.09032459259033
Epoch 60 training loss: 108.10401248931885
Epoch 75 training loss: 100.81500759124756
Epoch 90 training loss: 93.28401966094971
Stopped training after max epochs
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
4 0 1640055935.163465 sample_queries/q21_2a396.sql 6.130698204040527
4 1 1640055941.3270838 sample_queries/q10_2a265.sql 6.163437843322754
4 2 1640055949.9724052 sample_queries/q7_7a48.sql 8.645163536071777
4 3 1640055955.9276502 sample_queries/q5_8a423.sql 5.955085754394531
4 4 1640055965.0251052 sample_queries/q40_2a8120.sql 9.097285509109497
4 5 1640055971.1709268 sample_queries/q21_2a396.sql 6.145694732666016
4 6 1640055975.6868985 sample_queries/q12_17a.sql 4.515807151794434
4 7 1640055981.719337 sample_queries/q5_8a423.sql 6.032305479049683
4 8 1640055990.3869705 sample_queries/q7_7a48.sql 8.667476654052734
4 9 1640056003.6489518 sample_queries/q13_7a121.sql 13.261815309524536
4 10 1640056009.856543 sample_queries/q28_13a.sql 6.2074668407440186
4 11 1640056014.4338446 sample_queries/q12_17a.sql 4.577157735824585
4 12 1640056038.2679224 sample_queries/q3_7a99.sql 23.833856105804443
4 13 1640056062.1153858 sample_queries/q3_7a99.sql 23.847343683242798
4 14 1640056066.1829479 sample_queries/q15_18a.sql 4.067382335662842
4 15 1640056071.979733 sample_queries/q28_13a.sql 5.796554803848267
4 16 1640056075.4600203 sample_queries/q29_6e.sql 3.4801321029663086
4 17 1640056084.205201 sample_queries/q19_2a471.sql 8.745041370391846
4 18 1640056090.91714 sample_queries/q4_8a122.sql 6.71178936958313
4 19 1640056097.4509153 sample_queries/q25_13d.sql 6.533623933792114
4 20 1640056104.9386675 sample_queries/q18_7a103.sql 7.487590312957764
4 21 1640056108.5026133 sample_queries/q29_6e.sql 3.5638225078582764
4 22 1640056116.9586737 sample_queries/q37_2a1291.sql 8.455919981002808
4 23 1640056124.256004 sample_queries/q18_7a103.sql 7.297184944152832
4 24 1640056130.3971827 sample_queries/q21_2a396.sql 6.141040563583374
Initial input channels: 10
Epoch 0 training loss: 148.71303763040683
Epoch 15 training loss: 131.36341950951552
Epoch 30 training loss: 123.44785178579936
Epoch 45 training loss: 117.04290697051258
Epoch 60 training loss: 108.21431025063119
Epoch 75 training loss: 101.57868901694694
Epoch 90 training loss: 92.38726490299877
Stopped training after max epochs
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
5 0 1640056466.6608768 sample_queries/q9_5a48.sql 7.877525091171265
5 1 1640056480.945206 sample_queries/q33_2a156.sql 14.28415036201477
5 2 1640056495.7093875 sample_queries/q26_2a274.sql 14.764047384262085
5 3 1640056509.4165747 sample_queries/q2_8a82.sql 13.707054138183594
5 4 1640056517.1433353 sample_queries/q14_6a349.sql 7.726588487625122
5 5 1640056524.6368291 sample_queries/q18_7a103.sql 7.493329286575317
5 6 1640056531.1010737 sample_queries/q22_8a27.sql 6.464111804962158
5 7 1640056539.2091784 sample_queries/q31_2a39.sql 8.107953548431396
5 8 1640056547.796011 sample_queries/q1_8a463.sql 8.586680173873901
5 9 1640056555.2924054 sample_queries/q18_7a103.sql 7.4962475299835205
5 10 1640056559.7901192 sample_queries/q12_17a.sql 4.4975690841674805
5 11 1640056573.1938105 sample_queries/q33_2a156.sql 13.403531789779663
5 12 1640056581.7012947 sample_queries/q1_8a463.sql 8.507251501083374
5 13 1640056591.4122083 sample_queries/q6_16b.sql 9.710694551467896
5 14 1640056598.712357 sample_queries/q4_8a122.sql 7.29999566078186
5 15 1640056603.2230756 sample_queries/q12_17a.sql 4.510594367980957
5 16 1640056611.7195103 sample_queries/q1_8a463.sql 8.49627161026001
5 17 1640056618.3840494 sample_queries/q34_1a275.sql 6.66439414024353
5 18 1640056625.9611979 sample_queries/q18_7a103.sql 7.576984643936157
5 19 1640056630.3564448 sample_queries/q15_18a.sql 4.395064830780029
5 20 1640056638.8153892 sample_queries/q7_7a48.sql 8.458720684051514
5 21 1640056643.7695827 sample_queries/q30_18c.sql 4.95404577255249
5 22 1640056646.698946 sample_queries/q27_3c.sql 2.929187059402466
5 23 1640056655.0441382 sample_queries/q38_2a1870.sql 8.345037698745728
5 24 1640056663.15874 sample_queries/q39_2a2781.sql 8.114451885223389
Initial input channels: 10
Epoch 0 training loss: 152.92554065793058
Epoch 15 training loss: 129.00150671670602
Epoch 30 training loss: 120.66482774601427
Epoch 45 training loss: 112.7883616602698
Epoch 60 training loss: 104.9127830682799
Epoch 75 training loss: 96.58511973536292
Epoch 90 training loss: 88.84455729639808
Stopped training after max epochs
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
6 0 1640057013.291268 sample_queries/q17_7a164.sql 10.433770656585693
6 1 1640057021.7545924 sample_queries/q13_7a121.sql 8.463166236877441
6 2 1640057036.721421 sample_queries/q26_2a274.sql 14.966662883758545
6 3 1640057042.848014 sample_queries/q25_13d.sql 6.126444578170776
6 4 1640057045.9321725 sample_queries/q27_3c.sql 3.0840301513671875
6 5 1640057054.1943383 sample_queries/q37_2a1291.sql 8.262027025222778
6 6 1640057060.5172784 sample_queries/q34_1a275.sql 6.322796106338501
6 7 1640057067.7362437 sample_queries/q9_5a48.sql 7.218825340270996
6 8 1640057076.3570497 sample_queries/q13_7a121.sql 8.620652437210083
6 9 1640057082.806006 sample_queries/q25_13d.sql 6.448796033859253
6 10 1640057089.4311967 sample_queries/q22_8a27.sql 6.625036001205444
6 11 1640057096.8494742 sample_queries/q4_8a122.sql 7.418120622634888
6 12 1640057105.3921626 sample_queries/q1_8a463.sql 8.542489051818848
6 13 1640057115.673818 sample_queries/q17_7a164.sql 10.28152060508728
6 14 1640057130.7742817 sample_queries/q26_2a274.sql 15.100295782089233
6 15 1640057137.273738 sample_queries/q25_13d.sql 6.499257802963257
6 16 1640057143.1842098 sample_queries/q20_24b.sql 5.910303115844727
6 17 1640057151.7416914 sample_queries/q1_8a463.sql 8.557365655899048
6 18 1640057158.169728 sample_queries/q6_16b.sql 6.427899360656738
6 19 1640057173.1811666 sample_queries/q26_2a274.sql 15.011291742324829
6 20 1640057179.9776 sample_queries/q4_8a122.sql 6.796294450759888
6 21 1640057185.1350267 sample_queries/q30_18c.sql 5.157286643981934
6 22 1640057189.6960375 sample_queries/q12_17a.sql 4.560859441757202
6 23 1640057197.1975555 sample_queries/q9_5a48.sql 7.501342058181763
6 24 1640057206.7850933 sample_queries/q40_2a8120.sql 9.587361097335815
Initial input channels: 10
Epoch 0 training loss: 150.28853399103338
Epoch 15 training loss: 131.20567252419212
Epoch 30 training loss: 122.86901005831632
Epoch 45 training loss: 114.27517648176713
Epoch 60 training loss: 106.45850545709783
Epoch 75 training loss: 99.05623834783381
Epoch 90 training loss: 90.63436785611239
Stopped training after max epochs
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
7 0 1640057577.4659483 sample_queries/q8_6a505.sql 9.331080913543701
7 1 1640057586.1531458 sample_queries/q7_7a48.sql 8.686973810195923
7 2 1640057595.1236062 sample_queries/q40_2a8120.sql 8.970235586166382
7 3 1640057600.4734054 sample_queries/q16_26c.sql 5.349640130996704
7 4 1640057606.5163097 sample_queries/q28_13a.sql 6.042749643325806
7 5 1640057613.804412 sample_queries/q18_7a103.sql 7.287945508956909
7 6 1640057620.189621 sample_queries/q25_13d.sql 6.385089874267578
7 7 1640057624.5127974 sample_queries/q12_17a.sql 4.323021411895752
7 8 1640057625.9049315 sample_queries/q24_32a.sql 1.3919281959533691
7 9 1640057633.367621 sample_queries/q9_5a48.sql 7.462513208389282
7 10 1640057641.8107653 sample_queries/q19_2a471.sql 8.442985773086548
7 11 1640057650.468824 sample_queries/q38_2a1870.sql 8.657905101776123
7 12 1640057653.5978749 sample_queries/q27_3c.sql 3.1289100646972656
7 13 1640057660.030402 sample_queries/q25_13d.sql 6.432323217391968
7 14 1640057669.2097178 sample_queries/q8_6a505.sql 9.179171085357666
7 15 1640057676.749752 sample_queries/q9_5a48.sql 7.539894342422485
7 16 1640057682.1544359 sample_queries/q30_18c.sql 5.404533386230469
7 17 1640057690.5706296 sample_queries/q36_7a136.sql 8.416076183319092
7 18 1640057695.4239302 sample_queries/q16_26c.sql 4.8531482219696045
7 19 1640057701.044563 sample_queries/q20_24b.sql 5.620510816574097
7 20 1640057710.2297997 sample_queries/q8_6a505.sql 9.185095071792603
7 21 1640057718.0582237 sample_queries/q31_2a39.sql 7.828203439712524
7 22 1640057721.279208 sample_queries/q29_6e.sql 3.220766305923462
7 23 1640057729.1872432 sample_queries/q37_2a1291.sql 7.907886981964111
7 24 1640057733.5508752 sample_queries/q12_17a.sql 4.363489151000977
Initial input channels: 10
Epoch 0 training loss: 148.04743791663128
Epoch 15 training loss: 130.29305748317552
Epoch 30 training loss: 121.54557252966839
Epoch 45 training loss: 114.17813889876656
Epoch 60 training loss: 104.88361607427183
Epoch 75 training loss: 96.57277977984884
Epoch 90 training loss: 87.81358320816703
Stopped training after max epochs
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
8 0 1640058112.215967 sample_queries/q31_2a39.sql 8.016223192214966
8 1 1640058125.399495 sample_queries/q2_8a82.sql 13.18333888053894
8 2 1640058132.5626793 sample_queries/q4_8a122.sql 7.163020610809326
8 3 1640058137.548435 sample_queries/q16_26c.sql 4.98562479019165
8 4 1640058146.975721 sample_queries/q8_6a505.sql 9.427142143249512
8 5 1640058155.547034 sample_queries/q13_7a121.sql 8.571168899536133
8 6 1640058164.3486247 sample_queries/q17_7a164.sql 8.801421403884888
8 7 1640058172.6945097 sample_queries/q31_2a39.sql 8.345736026763916
8 8 1640058184.3732464 sample_queries/q35_1a1508.sql 11.678616285324097
8 9 1640058192.7688224 sample_queries/q1_8a463.sql 8.395411968231201
8 10 1640058200.4413352 sample_queries/q14_6a349.sql 7.672399997711182
8 11 1640058206.4696035 sample_queries/q5_8a423.sql 6.028131723403931
8 12 1640058214.8690073 sample_queries/q1_8a463.sql 8.399261474609375
8 13 1640058222.7825835 sample_queries/q31_2a39.sql 7.913440942764282
8 14 1640058229.617167 sample_queries/q32_2a493.sql 6.834446668624878
8 15 1640058235.8464322 sample_queries/q25_13d.sql 6.229111433029175
8 16 1640058243.81703 sample_queries/q31_2a39.sql 7.970462083816528
8 17 1640058257.6937187 sample_queries/q2_8a82.sql 13.876552104949951
8 18 1640058266.3345463 sample_queries/q7_7a48.sql 8.6406831741333
8 19 1640058274.1349897 sample_queries/q18_7a103.sql 7.800277233123779
8 20 1640058282.3804975 sample_queries/q36_7a136.sql 8.245362281799316
8 21 1640058291.0400045 sample_queries/q1_8a463.sql 8.659347295761108
8 22 1640058292.6526463 sample_queries/q24_32a.sql 1.6124558448791504
8 23 1640058299.0009854 sample_queries/q34_1a275.sql 6.348184108734131
8 24 1640058304.5116596 sample_queries/q20_24b.sql 5.510510683059692
Initial input channels: 10
Epoch 0 training loss: 147.11961299815076
Epoch 15 training loss: 128.85833139622466
Epoch 30 training loss: 119.25164405335771
Epoch 45 training loss: 111.30066226391082
Epoch 60 training loss: 102.63317562671418
Epoch 75 training loss: 93.78834582389669
Epoch 90 training loss: 84.6676874363676
Stopped training after max epochs
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
9 0 1640058691.6433616 sample_queries/q21_2a396.sql 6.043919324874878
9 1 1640058715.3123937 sample_queries/q3_7a99.sql 23.668865203857422
9 2 1640058720.294857 sample_queries/q12_17a.sql 4.982280969619751
9 3 1640058723.4044766 sample_queries/q27_3c.sql 3.109471321105957
9 4 1640058730.535336 sample_queries/q9_5a48.sql 7.130733251571655
9 5 1640058737.7608097 sample_queries/q9_5a48.sql 7.225268125534058
9 6 1640058742.2491617 sample_queries/q12_17a.sql 4.488186836242676
9 7 1640058750.0648375 sample_queries/q18_7a103.sql 7.81548285484314
9 8 1640058758.0194228 sample_queries/q19_2a471.sql 7.954444646835327
9 9 1640058766.6339617 sample_queries/q7_7a48.sql 8.614301204681396
9 10 1640058772.6049538 sample_queries/q5_8a423.sql 5.970876693725586
9 11 1640058778.6166012 sample_queries/q5_8a423.sql 6.011519908905029
9 12 1640058786.2681718 sample_queries/q23_19d.sql 7.651420831680298
9 13 1640058791.3445952 sample_queries/q16_26c.sql 5.076244831085205
9 14 1640058800.53304 sample_queries/q40_2a8120.sql 9.188293218612671
9 15 1640058809.229861 sample_queries/q36_7a136.sql 8.69669222831726
9 16 1640058815.9847116 sample_queries/q32_2a493.sql 6.754683971405029
9 17 1640058823.1223874 sample_queries/q9_5a48.sql 7.137544631958008
9 18 1640058829.4470541 sample_queries/q34_1a275.sql 6.324533700942993
9 19 1640058836.2124987 sample_queries/q10_2a265.sql 6.765301942825317
9 20 1640058844.844153 sample_queries/q39_2a2781.sql 8.631500720977783
9 21 1640058851.1750019 sample_queries/q20_24b.sql 6.330695152282715
9 22 1640058857.5757928 sample_queries/q34_1a275.sql 6.400649785995483
9 23 1640058866.403022 sample_queries/q7_7a48.sql 8.82706618309021
9 24 1640058870.5873656 sample_queries/q15_18a.sql 4.184006452560425
Initial input channels: 10
Epoch 0 training loss: 150.9948559196628
Epoch 15 training loss: 128.46111032914143
Epoch 30 training loss: 119.2926909777583
Epoch 45 training loss: 110.4041134581274
Epoch 60 training loss: 100.69484414859694
Epoch 75 training loss: 91.50880011733697
Epoch 90 training loss: 83.20697068194954
Stopped training after max epochs
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
10 0 1640059272.5731606 sample_queries/q14_6a349.sql 7.5640997886657715
10 1 1640059279.805262 sample_queries/q14_6a349.sql 7.231931447982788
10 2 1640059284.961124 sample_queries/q30_18c.sql 5.155696868896484
10 3 1640059293.0441408 sample_queries/q19_2a471.sql 8.082858324050903
10 4 1640059299.6789744 sample_queries/q32_2a493.sql 6.634666919708252
10 5 1640059308.0996406 sample_queries/q36_7a136.sql 8.42049527168274
10 6 1640059315.4022124 sample_queries/q18_7a103.sql 7.30241060256958
10 7 1640059328.527366 sample_queries/q33_2a156.sql 13.125016450881958
10 8 1640059336.9005504 sample_queries/q19_2a471.sql 8.373034715652466
10 9 1640059343.0319166 sample_queries/q28_13a.sql 6.131224870681763
10 10 1640059349.3361819 sample_queries/q6_16b.sql 6.304122447967529
10 11 1640059358.6898174 sample_queries/q40_2a8120.sql 9.353508710861206
10 12 1640059367.221759 sample_queries/q13_7a121.sql 8.531726837158203
10 13 1640059373.7158139 sample_queries/q25_13d.sql 6.493802785873413
10 14 1640059379.7946641 sample_queries/q20_24b.sql 6.078704833984375
